"id";"feature_name";"description"
1;"Step-free guest entrance";"Guest entrance and parking"
2;"Guest entrance wider than 32 inches";"Guest entrance and parking"
3;"Accessible parking spot";"Guest entrance and parking"
4;"Step-free path to the guest entrance";"Guest entrance and parking"
5;"Step-free bedroom access";"Bathroom"
6;"Bedroom entrance wider than 32 inches";"Bathroom"
7;"Step-free bathroom access";"Bathroom"
8;"Bathroom entrance wider than 32 inches";"Bathroom"
9;"Shower grab bar";"Bathroom"
10;"Toilet grab bar";"Bathroom"
11;"Step-free shower";"Bathroom"
12;"Shower or bath chair";"Bathroom"
13;"Ceiling or mobile hoist";"Adaptive equipment"
14;"Carpenter1994";"Sed praesentium nulla;"
15;"Doyle2";"Deleniti consequatur labore."
16;"Johnston1952";"Laboriosam unde odit ea."
17;"Booker6";"Magnam quis. Inventore ut!"
18;"Carvalho72";"Nemo veniam. Iste nihil!"
19;"Aguilera1993";"Numquam eum. Voluptatem."
20;"Paris2022";"Natus et. Voluptatum!"
